id,uuid
sinn-fein,fcfc4e3c-ae5b-4dd7-8818-a4cbe26372fa
uup,93d779cb-ff01-48d8-82a5-1ef3df8a6508
dup,e737c14b-58ed-4b8a-8583-da7af0e0e56b
social-democratic-and-labour-party,ba9739e3-1391-4c14-8813-41cafd8a01d7
ukup,0a9fe6c1-5b8a-46bd-92fd-350e246b34e6
alliance,909cfd94-8020-4586-8cef-ea8aaedefd65
speaker,abbd8be6-906c-45ad-b6e3-d0788f87d641
independent,c00f2b78-944a-4934-984e-3430b664acf6
uuap,c50d50db-b44f-4cf5-852d-75779c9ce352
niup,707fb984-baae-43e3-9bd6-587b60a60df3
pup,25760c7d-b397-4ca9-9bbc-3df1da99b480
niwc,bfd58379-df9a-4f5d-8787-9b5580f05c16
green,3e151837-b7c5-414a-a1e1-631339ec609b
traditional-unionist-voice,ff7d70aa-9d95-490e-b5e0-6e285dfd9440
ni21,98eb435f-dab9-4b01-baff-1abb6d5a1e0a
ukip,a07ee28b-1a1a-4e38-864f-5bc2544f76c7
people-before-profit-alliance,5c8411ec-ac97-4af3-8b06-371a8d7f913f
