uuid,female,male,other,skip,total
02e39786-b075-4736-a24e-47d4a6fc0b13,0,4,1,0,5
06627fcf-559a-4cc1-bbeb-8a4129608009,0,5,0,0,5
0738e0f7-a3da-438d-9c42-24abbd1af8c1,0,5,0,0,5
09e0618f-4b95-40e0-ac5e-5595284c376a,5,0,0,0,5
1561aeab-2eaa-416b-a03f-b29f53c938ba,0,5,0,0,5
1854e487-6519-4d6d-8b00-2bbed01707ee,0,5,0,0,5
1f6a9383-4e44-408a-b806-b99e5a3e8ba4,0,5,0,0,5
25e1b4d1-caff-4ae1-89be-6d5e56d86a2c,5,0,0,0,5
2c3b7fad-63d1-4278-82fb-1cfee1a46149,0,5,0,0,5
2e0e9d38-2026-42fa-a7d5-5b407c670ed1,0,5,0,0,5
3043df83-6a5b-4721-b8ac-40806e0787c9,0,5,0,0,5
34d2c04e-9178-4490-9c88-ba4c52a4214b,0,5,0,0,5
369a017c-e9e5-4364-95b0-66c7ea57f8d1,0,5,0,0,5
37a42792-4e08-4c8e-aca9-b507a398e5bd,0,5,0,0,5
3ac52bb0-3d83-42f2-be15-63662b7a1103,0,5,0,0,5
3bfa5dd5-ee01-4b8e-b7a2-745e865538a7,0,5,0,0,5
3c17c264-eb7d-40db-8b80-f2dff28c3f87,0,5,0,0,5
3f7a66a7-bf78-4fe6-b9e6-899b594bfbd2,0,5,0,0,5
44d359bb-2a45-43a1-b010-446e7b2c4955,5,0,0,0,5
4726f81b-5fa3-413b-804d-ca4aa1d3683f,4,0,1,0,5
4d5aad62-f4f9-447e-994d-64998a62d6a5,0,5,0,0,5
4dbbbd47-9739-4291-850a-b8f2ea2808d6,0,5,0,0,5
5a3eeac9-3fdb-433f-ad52-e7badd661e93,0,5,0,0,5
5ab4e5d8-bc3c-432a-b9bd-d5b6c43a7719,0,5,0,0,5
6114e1f0-953b-4070-89f3-aa3b765f77be,0,5,0,0,5
6218249f-cb9d-43f9-aef1-66e998617aba,0,5,0,0,5
6b206955-c484-4b4f-9f44-801d72d6566a,5,0,0,0,5
7037fe81-3c4b-4175-9c20-b85b4709ffbf,0,5,0,0,5
70778a8f-c975-4a21-8535-6576c20bca15,0,3,0,0,3
74570774-8a67-471b-8c69-582e6b080043,0,5,0,0,5
7ba6966e-75ec-48b9-8a82-dd896abb61a5,5,0,0,0,5
7bea76f8-0df9-4f0f-b583-55ac265e3466,5,0,0,0,5
7dd66d9c-b1a3-4cc9-b975-b6a67bffc903,5,0,0,0,5
7e6e506b-6659-4b6e-85f7-5ec49896c5b2,0,5,0,0,5
80910669-5ee5-4b34-8b94-8e776e3eaf4b,0,5,0,0,5
8a6316cd-a9d0-4a7c-8905-3916da8c6de5,0,5,0,0,5
8c3da4c8-3e54-4d73-9823-81264e04ab19,0,5,0,0,5
8ef6cea0-a9cc-4161-82c0-035a8731de85,0,5,0,0,5
92cbd6c6-7899-4678-84ad-208c91c1380e,0,5,0,0,5
931aa29d-293e-45c1-b438-5e2ca3e910af,0,5,0,0,5
958edd3a-c3d1-4736-8397-55e0a946e9b9,0,5,0,0,5
96ab17ed-43c0-42e8-a0cf-7ca08eb6a85a,0,4,1,0,5
98b3094f-ea9c-45c9-bec1-d81f5eb5b253,1,2,0,0,3
9ce6502c-cd0e-4e8f-9dfa-2956ffe4aa41,0,5,0,0,5
a424481b-db59-424b-b452-ba06ab6f0c1f,0,5,0,0,5
abe1b66c-a783-4549-bf50-e37cd7b89d59,0,5,0,0,5
af706d23-67b7-4e77-bafc-f12a8ff38b2d,0,5,0,0,5
b23a569b-3920-4a7d-8621-238c511b8c46,5,0,0,0,5
b8d43739-465b-4e3b-a5a4-ec1ba2c0858d,0,5,0,0,5
ba6e5f58-c098-4099-b849-07a960589a5d,0,5,0,0,5
bab33cb2-e0b7-402c-82cf-f1de3099f27d,0,5,0,0,5
bb14920d-a17d-4bbe-9796-1539568995d4,0,5,0,0,5
c20075de-71b5-45fe-9115-a0578ef4a837,5,0,0,0,5
c2f6fbf2-aa1a-4b83-bfa5-8a76b650859d,5,0,0,0,5
c3093c34-2e9d-4a75-9cd6-98a8d9bf4e21,5,0,0,0,5
c773baa6-0ce0-4a46-90eb-6873049b09ff,0,5,0,0,5
cac1e466-d275-4a6f-824d-994ef017dd11,0,5,0,0,5
d7f12aa2-5ded-4312-83ac-0b240f6f904e,0,3,0,0,3
d833d06e-25cb-4ff4-85f4-d342df52c77d,0,5,0,0,5
da27ea79-bb6d-4f5d-98bd-cbdb1220a8d3,0,5,0,0,5
e563cbe0-011c-4b79-8d3d-e08e4e9553cd,0,5,0,0,5
e7df97a0-d60f-431a-8fec-c305ebc9cf40,0,5,0,0,5
e80146d7-0473-4a40-a0a6-811cce202d69,0,5,0,0,5
e896aaf7-421e-4e7e-93f5-5cabd6d41b8f,0,5,0,0,5
ea11345d-1ac9-4510-9a58-41c53050fe70,5,0,0,0,5
eb000d2a-d20b-4b48-af87-516d31628310,0,5,0,0,5
ed9db70e-8dd7-4a86-9f48-f835ae9d406e,0,5,0,0,5
eefdae25-b947-42ba-817a-7fba61cf43eb,0,5,0,0,5
f3c11b3e-ef7d-42ef-a36c-deeed99a34f0,0,5,0,0,5
f4bbb602-55c3-4633-9b7c-2fda68db4f7e,0,5,0,0,5
f7093c11-f6a3-46c2-a9ff-c84903327a9b,0,5,0,0,5
fb8f2a9d-1d4f-49bc-9283-8bdd7598630f,0,4,1,0,5
fd5f21dc-2449-4642-af7c-a857a6775ae4,0,5,0,0,5
fe32555a-72dd-4f86-8283-26ed7e75584b,0,5,0,0,5
